Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Hcost
MEYDAN ONE,Unit,Flat,1182930,105.31,105.79,3 B/R,0.43
MEYDAN ONE,Unit,Flat,479864,45.22,45.22,Studio,0.11
MEYDAN ONE,Unit,Flat,268040,32.64,32.64,Studio,0.28
MBR DISTRICT 1,Unit,Flat,2200000,119.62,120.69,2 B/R,0.47
Wadi Al Safa 3,Building,Villa,4433800,629.25,629.25,5 B/R,0.07
MBR DISTRICT 1,Unit,Flat,813843,100.61,101.86,2 B/R,0.48
Wadi Al Safa 3,Building,Villa,4000000,615.96,615.96,5 B/R,0.01
MEYDAN ONE,Unit,Flat,377910,38.45,38.45,Studio,0.13
MBR DISTRICT 1,Unit,Flat,1462344,120.44,121.76,2 B/R,0.22
Wadi Al Safa 3,Building,Villa,4360161,651.65,651.65,5 B/R,0.1
MEYDAN ONE,Unit,Flat,424000,27.99,27.99,Studio,0.42
Wadi Al Safa 3,Building,Villa,4917975,442,442,5 B/R,0.17
MEYDAN ONE,Unit,Flat,375116,33.16,33.16,Studio,0.34
MEYDAN ONE,Unit,Flat,340238,48.02,48.02,1 B/R,0.44
MEYDAN ONE,Unit,Flat,452641,44.88,44.9,1 B/R,0.55
Wadi Al Safa 3,Building,Villa,5500000,455.52,455.52,5 B/R,0.04
MEYDAN ONE,Unit,Flat,507520,35.33,35.33,Studio,0.06
MEYDAN ONE,Unit,Flat,626300,79.29,79.29,2 B/R,0.55
Wadi Al Safa 3,Building,Villa,4077621.8,543.65,543.65,5 B/R,0.12
MEYDAN ONE,Unit,Flat,777750,46.25,46.25,1 B/R,0.12
MEYDAN ONE,Unit,Flat,324762,31.14,31.14,Studio,0.5
MEYDAN ONE,Unit,Flat,516208,45.49,45.49,Studio,0.55
MEYDAN ONE,Unit,Flat,495726,73.12,73.12,1 B/R,0.34
MEYDAN ONE,Unit,Flat,300000,53.36,53.36,1 B/R,0.2
MEYDAN ONE,Unit,Flat,544050,44.35,44.35,1 B/R,0.4
BUSINESS BAY,Unit,Flat,1760000,90.58,90.62,1 B/R,0.25
ARABIAN RANCHES III,Building,Villa,2097920,144.84,144.84,3 B/R,0.54
MEYDAN ONE,Unit,Flat,708368,54.42,54.5,1 B/R,0.01
MEYDAN ONE,Unit,Flat,446272,39.19,39.19,Studio,0.05
MEYDAN ONE,Unit,Flat,414730,54.38,54.38,1 B/R,0.27
MEYDAN ONE,Unit,Flat,393750,34.54,34.54,Studio,0.02
MEYDAN AVENUE,Unit,Flat,909090,85.87,85.87,2 B/R,0.53
MEYDAN ONE,Unit,Flat,298018,34.15,34.15,Studio,0.36
MEYDAN ONE,Unit,Flat,541086,53.35,53.35,1 B/R,0.26
MEYDAN ONE,Unit,Flat,897000,71.13,71.13,2 B/R,0.26
MEYDAN ONE,Unit,Flat,484112,37.34,37.34,Studio,0.43
MEYDAN ONE,Unit,Flat,341275,33.37,33.37,Studio,0.22
MEYDAN ONE,Unit,Flat,258236,32.05,32.05,Studio,0.29
MEYDAN ONE,Unit,Flat,1165000,104.12,104.12,3 B/R,0.36
MEYDAN AVENUE,Unit,Flat,599040,41.93,41.93,1 B/R,0.41
MEYDAN ONE,Unit,Flat,281521.8,27.04,27.29,Studio,0.14
MEYDAN ONE,Unit,Flat,460000,30.12,30.12,Studio,0.47
MEYDAN ONE,Unit,Flat,616960,51.65,51.65,1 B/R,0.37
MEYDAN ONE,Unit,Flat,585000,78.4,78.4,2 B/R,0.42
MEYDAN ONE,Unit,Flat,449440,29.68,29.68,Studio,0.04
MEYDAN ONE,Unit,Flat,419848,31.14,31.14,Studio,0.23
MEYDAN ONE,Unit,Flat,395458,35.3,35.3,Studio,0.31
MEYDAN AVENUE,Unit,Flat,710218,65.15,65.15,1 B/R,0.59
MEYDAN ONE,Unit,Flat,378993,34.07,34.07,Studio,0.07
MEYDAN ONE,Unit,Flat,740433,67.48,67.48,1 B/R,0.46
MEYDAN ONE,Unit,Flat,2685000,99.64,99.87,3 B/R,0.17
MEYDAN ONE,Unit,Flat,743750,51.91,51.91,1 B/R,0.44
MEYDAN ONE,Unit,Flat,437360,37.03,37.03,Studio,0.3
MEYDAN ONE,Unit,Flat,341790,48.08,48.08,1 B/R,0.37
MEYDAN ONE,Unit,Flat,242118.5,32.73,32.73,Studio,0.49
MEYDAN ONE,Unit,Flat,369600,37.47,37.47,Studio,0.29
MEYDAN ONE,Unit,Flat,357028,31.85,31.85,Studio,0.44
MEYDAN AVENUE,Unit,Flat,660206,61.93,61.93,1 B/R,0.23
MBR DISTRICT 1,Unit,Flat,773000,68.92,69.4,1 B/R,0.27
Wadi Al Safa 3,Building,Villa,3300000,545.4,545.4,5 B/R,0.19
MEYDAN ONE,Unit,Flat,493544,38.42,38.42,Studio,0.35
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,517280,37.53,37.53,Studio,0.37
REMRAAM,Unit,Flat,915840,137.38,137.38,3 B/R,0.19
JUMEIRAH LAKES TOWERS,Unit,Flat,763200,109.05,109.05,1 B/R,0.4
BURJ KHALIFA,Unit,Flat,3395200,169.01,169.01,3 B/R,0.03
Al Yelayiss 2,Building,Villa,1900000,268.54,268.54,4 B/R,0.4
Al Yelayiss 2,Building,Villa,2000000,268.54,268.54,4 B/R,0.28
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,512000,81.16,81.16,1 B/R,0.5
EMIRATE LIVING,Building,Villa,3920000,360.52,360.52,3 B/R,0.15
DUBAI MARINA,Unit,Flat,1297440,78.67,78.67,1 B/R,0.08
DUBAI CREEK HARBOUR,Unit,Flat,2798400,167.21,167.21,3 B/R,0.17
AL FURJAN,Unit,Flat,437750,37.85,37.85,Studio,0.05
DUBAI MARINA,Unit,Flat,2080000,244.67,244.67,3 B/R,0.36
TOWN SQUARE,Building,Villa,1785000,191.24,191.24,3 B/R,0.17
DUBAI SPORTS CITY,Unit,Flat,822560,132.78,132.78,2 B/R,0.2
DAMAC HILLS,Unit,Flat,416000,54.61,54.61,Studio,0.55
DUBAI MARINA,Unit,Flat,1080000,93.63,93.63,1 B/R,0.2
THE GREENS,Unit,Flat,1992800,145.11,145.11,2 B/R,0.32
THE GREENS,Unit,Flat,952000,75.07,75.07,1 B/R,0.22
SERENA,Building,Villa,1616000,179.97,179.97,2 B/R,0.23
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,521520,45.47,45.47,Studio,0.58
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1000000,127.35,127.35,2 B/R,0.28
TILAL AL GHAF,Building,Villa,2419080,145.09,145.09,3 B/R,0.39
DUBAI SPORTS CITY,Unit,Flat,832000,127.33,127.33,2 B/R,0.2
DUBAI MARINA,Unit,Flat,1721250,104.7,104.7,2 B/R,0.43
Muhaisanah First,Unit,Flat,1526510,189.09,189.09,3 B/R,0.2
BURJ KHALIFA,Unit,Flat,1280000,86.68,86.68,1 B/R,0.59
DUBAI MARINA,Unit,Flat,1102400,48.43,48.43,Studio,0.34
MIRA,Building,Villa,1950400,237.73,237.73,3 B/R,0.49
JUMEIRAH BEACH RESIDENCE,Unit,Flat,2883200,270.51,270.51,4 B/R,0.18
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,698880,118.68,118.68,2 B/R,0.33
MIRA,Building,Villa,2900000,223.81,223.81,4 B/R,0.2
DUBAI MARINA,Unit,Flat,2677500,194.91,194.91,3 B/R,0.2
BUSINESS BAY,Unit,Flat,813150,84.03,84.03,1 B/R,0.15
MEYDAN AVENUE,Unit,Flat,528000,59.51,59.51,1 B/R,0.54
JADDAF WATERFRONT,Unit,Flat,990724,61.5,61.5,1 B/R,0.36
DUBAI SOUTH,Unit,Flat,424000,59.48,59.48,1 B/R,0.27
BUSINESS BAY,Unit,Flat,704000,65.5,65.5,Studio,0.32
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,354450,50.53,50.53,Studio,0.03
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,650400,68.31,68.31,1 B/R,0.51
LIWAN,Unit,Flat,1158007,156.67,156.67,2 B/R,0.14
LIWAN,Unit,Flat,1158007,156.67,156.67,2 B/R,0.31
LIWAN,Unit,Flat,1158007,156.67,156.67,2 B/R,0.29
LIWAN,Unit,Flat,1158007,156.67,156.67,2 B/R,0.59
LIWAN,Unit,Flat,1158007,156.67,156.67,2 B/R,0.47
BUSINESS BAY,Unit,Flat,484000,34.77,34.77,Studio,0.44
DUBAI SCIENCE PARK,Unit,Flat,1042500,135.39,135.39,2 B/R,0.25
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1710000,145.54,145.54,2 B/R,0.54
DUBAI MARINA,Unit,Flat,1564160,96.25,96.25,1 B/R,0.5
EMIRATE LIVING,Building,Villa,2162400,172.97,172.97,2 B/R,0.18
TOWN SQUARE,Building,Villa,2240000,270.27,270.27,4 B/R,0.49
DUBAI MARINA,Unit,Flat,1000000,143.64,143.64,2 B/R,0.59
MIRA,Building,Villa,1500000,307.1,307.1,3 B/R,0.03
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,468000,90.55,90.55,1 B/R,0.57
EMAAR SOUTH,Unit,Flat,996400,156.12,156.12,2 B/R,0.21
MIRA,Building,Villa,2038400,268.22,268.22,3 B/R,0.21
MAJAN,Unit,Flat,805600,109.91,109.91,2 B/R,0.46
DUBAI MARINA,Unit,Flat,2496000,449.1,449.1,4 B/R,0.34
DUBAI SOUTH,Unit,Flat,356160,44.66,44.66,1 B/R,0.15
DUBAI MARINA,Unit,Flat,1800000,137.5,137.5,2 B/R,0.07
LIVING LEGENDS,Unit,Flat,797120,147.91,147.91,2 B/R,0.06
Al Yelayiss 2,Building,Villa,1865600,220.32,220.32,3 B/R,0.01
INTERNATIONAL CITY PH 1,Unit,Flat,1206400,221.75,221.75,3 B/R,0.27
SERENA,Building,Villa,1526400,175.5,175.5,2 B/R,0.19
LA MER,Unit,Flat,2677500,124.72,124.72,2 B/R,0.04
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,735000,62.78,62.78,1 B/R,0.03
RUKAN,Building,Villa,695360,103.82,103.82,1 B/R,0.53
JUMEIRAH VILLAGE CIRCLE,Building,Villa,2000000,162.52,162.52,3 B/R,0.34
DUBAI MARINA,Unit,Flat,1200000,111.85,111.85,2 B/R,0.13
DUBAI SPORTS CITY,Unit,Flat,400000,63.42,63.42,1 B/R,0.15
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,694400,110.14,110.14,2 B/R,0.58
LIWAN,Unit,Flat,272000,64.87,64.87,1 B/R,0.09
ARABIAN RANCHES I,Building,Villa,1945000,327.28,327.28,3 B/R,0.08
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,547000,76.19,76.19,2 B/R,0.54
BUSINESS BAY,Unit,Flat,898880,86.49,86.49,1 B/R,0.41
Muhaisanah First,Unit,Flat,1001552,130.64,130.64,2 B/R,0.09
JUMEIRAH VILLAGE CIRCLE,Building,Villa,2913680,197.6,197.6,4 B/R,0.05
DUBAI HILLS,Building,Villa,2690000,195.13,195.13,3 B/R,0.1
PALM JUMEIRAH,Unit,Flat,1625625,106.17,106.17,1 B/R,0.34
DUBAI HILLS,Unit,Flat,1207976,68.62,68.62,2 B/R,0.2
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,551200,39.21,39.21,Studio,0.4
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,540000,88.57,88.57,1 B/R,0.37
EMAAR SOUTH,Unit,Flat,1356800,219.37,219.37,3 B/R,0.5
VILLANOVA,Building,Villa,1800000,203.66,203.66,3 B/R,0.1
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,1248000,144.97,144.97,2 B/R,0.05
DUBAI HILLS,Unit,Flat,1625625,121.47,121.47,2 B/R,0.29
Zaabeel Second,Unit,Flat,1147944,101.32,101.32,2 B/R,0.41
RUKAN,Building,Villa,1018687,125.16,125.16,2 B/R,0.08
DUBAI SCIENCE PARK,Unit,Flat,1068320,135.7,135.7,2 B/R,0.3
SOBHA HEARTLAND,Unit,Flat,990000,79.77,79.77,1 B/R,0.05
DUBAI MARINA,Unit,Flat,2081520,141.71,141.71,2 B/R,0.47
DUBAI HILLS,Unit,Flat,1083680,67.08,67.08,2 B/R,0.34
DUBAI HILLS,Unit,Flat,950000,78.55,78.55,1 B/R,0.01
DUBAI HILLS,Unit,Flat,926250,70.56,70.56,1 B/R,0.29
BUSINESS BAY,Unit,Flat,1900000,295.63,295.63,2 B/R,0.08
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,394176,75.5,75.5,1 B/R,0.37
Jabal Ali First,Unit,Flat,600000,70.66,70.66,2 B/R,0.38
VILLANOVA,Building,Villa,1997500,161,161,3 B/R,0.54
EMIRATE LIVING,Building,Villa,1460000,186.87,186.87,3 B/R,0.09
VILLANOVA,Building,Villa,2320000,243.32,243.32,4 B/R,0.13
BURJ KHALIFA,Unit,Flat,1130000,74.01,74.01,1 B/R,0.44
BURJ KHALIFA,Unit,Flat,1128900,102.81,102.81,1 B/R,0.4
DUBAI MARINA,Unit,Flat,1320000,114.07,114.07,2 B/R,0.13
Marsa Dubai,Unit,Flat,700000,73.84,73.84,1 B/R,0.33
THE GREENS,Unit,Flat,1068480,74.76,74.76,1 B/R,0.45
DUBAI STUDIO CITY,Unit,Flat,689610,125.45,125.45,3 B/R,0.19
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,374400,78.29,78.29,1 B/R,0.29
AL FURJAN,Unit,Flat,450000,81.63,81.63,1 B/R,0.32
BUSINESS BAY,Unit,Flat,975000,72.59,72.59,1 B/R,0.46
Wadi Al Safa 5,Building,Villa,2000400,162.17,162.17,3 B/R,0.46
DAMAC HILLS,Unit,Flat,400000,37.16,37.16,Studio,0.12
TOWN SQUARE,Unit,Flat,438000,57.07,57.07,1 B/R,0.55
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,472680,70.94,70.94,1 B/R,0.13
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,455618,75.63,75.63,1 B/R,0.6
MBR DISTRICT 1,Unit,Flat,1230000,71.34,71.34,1 B/R,0.06
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,496082,76.85,76.85,1 B/R,0.55
EMAAR SOUTH,Unit,Flat,1240000,259.1,259.1,3 B/R,0.53
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,452238,72.85,72.85,1 B/R,0.51
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,616250,59.46,59.46,1 B/R,0.14
ARABIAN RANCHES III,Building,Villa,1839360,128.58,128.58,3 B/R,0.26
ARJAN,Unit,Flat,407040,37.57,37.57,Studio,0.53
JUMEIRAH LAKES TOWERS,Unit,Flat,1089737,182.65,182.65,2 B/R,0.57
Wadi Al Safa 5,Building,Villa,2548800,307.38,307.38,4 B/R,0.1
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,1275360,169.11,169.11,2 B/R,0.51
MBR DISTRICT 1,Unit,Flat,1054344,120.38,120.38,2 B/R,0.5
BLUEWATERS,Unit,Flat,13212500,586.41,586.41,4 B/R,0.17
TOWN SQUARE,Unit,Flat,1572160,164.94,164.94,3 B/R,0.31
AL FURJAN,Unit,Flat,1178720,146.25,146.25,2 B/R,0.57
MEYDAN ONE,Unit,Flat,420000,32.24,32.24,Studio,0.15
DUBAI HILLS,Unit,Flat,1112000,67.34,67.34,2 B/R,0.55
EMAAR SOUTH,Building,Villa,1696000,242.83,242.83,4 B/R,0.53
TOWN SQUARE,Unit,Flat,890400,106.27,106.27,2 B/R,0.16
DUBAI HILLS,Building,Villa,3912521,277.7,277.7,4 B/R,0.1
PALM JUMEIRAH,Unit,Flat,2330000,200.76,200.76,3 B/R,0.41
SOBHA HEARTLAND,Unit,Flat,1311300,86.28,86.28,2 B/R,0.3
BURJ KHALIFA,Unit,Flat,989966,111.35,111.35,2 B/R,0.17
DUBAI MARINA,Unit,Flat,510000,63.06,63.06,1 B/R,0.32
MBR DISTRICT 1,Unit,Flat,1600000,131.28,131.28,2 B/R,0.46
VILLANOVA,Building,Villa,1908000,162.6,162.6,3 B/R,0.19
TILAL AL GHAF,Building,Villa,2762500,231.69,231.69,4 B/R,0.13
JUMEIRAH LAKES TOWERS,Unit,Flat,494062.5,48.99,48.99,Studio,0.54
DUBAI MARINA,Unit,Flat,2380000,199.38,199.38,3 B/R,0.26
REMRAAM,Unit,Flat,480000,139.46,139.46,2 B/R,0.35
AL KHAIL HEIGHTS,Unit,Flat,670000,127.46,127.46,2 B/R,0.06
BURJ KHALIFA,Unit,Flat,2486250,110.98,110.98,2 B/R,0.05
THE GREENS,Unit,Flat,630000,76.22,76.22,1 B/R,0.04
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,954000,123.47,123.47,2 B/R,0
Al Kifaf,Unit,Flat,1551840,87.75,87.75,1 B/R,0.16
AL FURJAN,Unit,Flat,940000,123.35,123.35,2 B/R,0.05
DUBAI MARINA,Unit,Flat,1095975,147.9,147.9,2 B/R,0.4
BURJ KHALIFA,Unit,Flat,2600000,144.93,144.93,2 B/R,0.06
DUBAI PRODUCTION CITY,Unit,Flat,853484,97.08,97.08,2 B/R,0.26
DUBAI MARINA,Unit,Flat,1000000,85.38,85.38,1 B/R,0.35
DUBAI SCIENCE PARK,Unit,Flat,720000,105.06,105.06,2 B/R,0.03
ARABIAN RANCHES I,Building,Villa,2800000,414.7,414.7,2 B/R,0.14
DUBAI SCIENCE PARK,Unit,Flat,724160,105.06,105.06,2 B/R,0.22
DUBAI PRODUCTION CITY,Unit,Flat,497306,102.83,102.83,2 B/R,0.06
BUSINESS BAY,Unit,Flat,830000,72.4,72.4,1 B/R,0.04
DUBAI SPORTS CITY,Unit,Flat,739200,150.36,150.36,2 B/R,0.14
SERENA,Building,Villa,835000,179.83,179.83,2 B/R,0.09
DAMAC HILLS,Unit,Flat,1911360,261.59,261.59,3 B/R,0.31
PALM JUMEIRAH,Unit,Flat,1583840,106.32,106.32,1 B/R,0.46
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,624000,96.76,96.76,2 B/R,0.54
BUSINESS BAY,Unit,Flat,1800000,165.88,165.88,3 B/R,0.15
DUBAI SCIENCE PARK,Unit,Flat,497250,74.41,74.41,1 B/R,0.54
BUSINESS BAY,Unit,Flat,570000,40.86,40.86,Studio,0.48
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,525937.5,71.39,71.39,1 B/R,0.12
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,508800,43.93,43.93,Studio,0.4
AL FURJAN,Unit,Flat,953000,172.48,172.48,3 B/R,0.48
TOWN SQUARE,Unit,Flat,550000,83.33,83.33,2 B/R,0.14
Al Yelayiss 2,Building,Villa,1820000,187.92,187.92,3 B/R,0.31
DAMAC HILLS,Unit,Flat,1560000,181.27,181.27,3 B/R,0.42
AL FURJAN,Building,Villa,1750000,232.8,232.8,3 B/R,0.25
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,772096,121.96,121.96,2 B/R,0.1
TOWN SQUARE,Unit,Flat,582000,86.94,86.94,2 B/R,0.43
DUBAI HILLS,Unit,Flat,1162500,83.49,83.49,1 B/R,0.02
THE GREENS,Unit,Flat,1696000,100.8,100.8,1 B/R,0.42
VILLANOVA,Building,Villa,1900000,249.01,249.01,4 B/R,0.32
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,440960,72.05,72.05,1 B/R,0.55
INTERNATIONAL CITY PH 1,Unit,Flat,260000,64.45,64.45,1 B/R,0.35
LIWAN,Unit,Flat,424000,104.75,104.75,2 B/R,0.28
AL FURJAN,Unit,Flat,688000,108.51,108.51,2 B/R,0.59
EMAAR SOUTH,Building,Villa,820000,140.7,140.7,3 B/R,0.5
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,848000,69.59,69.59,1 B/R,0.49
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1211250,109.81,109.81,1 B/R,0.35
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1399200,135.57,135.57,3 B/R,0.06
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1042160,106.03,106.03,2 B/R,0.4
DUBAI HILLS,Unit,Flat,1160000,67.86,67.86,2 B/R,0.04
Zaabeel First,Unit,Flat,3375000,139.39,139.39,1 B/R,0.13
SOBHA HEARTLAND,Unit,Flat,718256,45.39,45.39,1 B/R,0.23
MIRA,Building,Villa,1420000,201.59,201.59,3 B/R,0.09
BUSINESS BAY,Unit,Flat,400000,47.12,47.12,1 B/R,0.1
SOBHA HEARTLAND,Unit,Flat,720000,45.53,45.53,1 B/R,0.23
VILLANOVA,Building,Villa,1800000,168.83,168.83,3 B/R,0.57
TOWN SQUARE,Unit,Flat,900532,170.75,170.75,3 B/R,0.43
JUMEIRAH LAKES TOWERS,Unit,Flat,836609,67.08,67.08,1 B/R,0.31
DUBAI HARBOUR,Unit,Flat,1657500,68.96,68.96,1 B/R,0
MBR DISTRICT 1,Unit,Flat,637674,72.08,72.08,1 B/R,0.23
EMIRATE LIVING,Building,Villa,1904000,239.8,239.8,3 B/R,0.11
ARABIAN RANCHES I,Building,Villa,3000000,342.34,342.34,3 B/R,0.07
DUBAI MARINA,Unit,Flat,954000,117.34,117.34,2 B/R,0.43
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,932800,98.14,98.14,2 B/R,0.51
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1360000,145.99,145.99,3 B/R,0.07
DUBAI MARINA,Unit,Flat,1328000,148.33,148.33,2 B/R,0.18
AL FURJAN,Unit,Flat,1079360,129.64,129.64,2 B/R,0.47
DUBAI CREEK HARBOUR,Unit,Flat,960000,64.22,64.22,1 B/R,0.21
REMRAAM,Unit,Flat,408000,73.09,73.09,1 B/R,0.36
DUBAI MARINA,Unit,Flat,3300000,295.36,295.36,4 B/R,0.17
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,707200,64.75,64.75,1 B/R,0.12
TILAL AL GHAF,Building,Villa,2360000,144.54,144.54,3 B/R,0.26
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,661440,91.69,91.69,1 B/R,0.3
MOTOR CITY,Unit,Flat,657200,152.92,152.92,1 B/R,0.42
DUBAI MARINA,Unit,Flat,3999999,161.88,161.88,3 B/R,0.2
DUBAI HARBOUR,Unit,Flat,1694333,111.37,111.37,2 B/R,0.44
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,502560,101.5,101.5,2 B/R,0.45
THE FIELD,Building,Villa,2850000,187.2,187.2,4 B/R,0.06
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1102400,174.72,174.72,PENTHOUSE,0.31
DUBAI HILLS,Building,Villa,2712500,202.81,202.81,3 B/R,0.12
EMIRATE LIVING,Building,Villa,1198452,272.59,272.59,3 B/R,0.29
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1552463.33,155.8,155.8,4 B/R,0.12
TOWN SQUARE,Unit,Flat,1020000,124.49,124.49,3 B/R,0.11
LIWAN,Unit,Flat,499440,94.81,94.81,2 B/R,0.57
AL FURJAN,Unit,Flat,360000,37.69,37.69,Studio,0.02
EMIRATE LIVING,Building,Villa,2900000,357.01,357.01,3 B/R,0.11
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,450520,89.09,89.09,1 B/R,0.53
EMAAR SOUTH,Unit,Flat,880000,92.28,92.28,2 B/R,0.56
JUMEIRAH BEACH RESIDENCE,Unit,Flat,2022248,175.98,175.98,3 B/R,0.39
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,814080,63.3,63.3,1 B/R,0.52
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,585120,85.64,85.64,1 B/R,0.52
DAMAC HILLS,Unit,Flat,1760000,263.62,263.62,3 B/R,0.43
DUBAI MARINA,Unit,Flat,2360000,273.69,273.69,3 B/R,0.29
PALM JUMEIRAH,Unit,Flat,1825850,162.18,162.18,2 B/R,0.47
DISCOVERY GARDENS,Unit,Flat,234000,47,47,Studio,0.32
PALM JUMEIRAH,Unit,Flat,1630000,133.76,133.76,2 B/R,0.35
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,729750,118.68,118.68,2 B/R,0.03
CHERRYWOODS,Building,Villa,2120000,180,180,3 B/R,0.32
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,768000,144.31,144.31,2 B/R,0.54
BUSINESS BAY,Unit,Flat,1800000,132.02,132.02,2 B/R,0.06
DUBAI MARINA,Unit,Flat,1584345,60.17,60.17,1 B/R,0.3
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1325000,162.5,162.5,3 B/R,0.26
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,688000,121.77,121.77,2 B/R,0.26
DUBAI HILLS,Unit,Flat,2814000,183,183,3 B/R,0.15
EMAAR SOUTH,Building,Villa,1317760,137.76,137.76,3 B/R,0.5
PALM JUMEIRAH,Unit,Flat,2440000,147.36,147.36,2 B/R,0.03
DUBAI MARINA,Unit,Flat,1004305,69.67,69.67,1 B/R,0.01
BUSINESS BAY,Unit,Flat,1164800,105.92,105.92,Studio,0.26
AL FURJAN,Building,Villa,2298092,177.52,177.52,3 B/R,0.42
DUBAI STUDIO CITY,Unit,Flat,533360,76.17,76.17,1 B/R,0.39
JUMEIRAH LAKES TOWERS,Unit,Flat,570000,107.63,107.63,1 B/R,0.33
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,474240,77.29,77.29,1 B/R,0
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,732160,121.96,121.96,2 B/R,0.58
AL FURJAN,Building,Villa,3997368,224,224,4 B/R,0.1
PALM JUMEIRAH,Unit,Flat,4087738,375.82,375.82,2 B/R,0.03
DUBAI SPORTS CITY,Unit,Flat,572400,80.46,80.46,1 B/R,0.49
JUMEIRAH LAKES TOWERS,Unit,Flat,523512,78.01,78.01,1 B/R,0.23
MBR DISTRICT 1,Unit,Flat,637137,77.33,77.33,1 B/R,0.28
AL FURJAN,Building,Villa,3814704,163.06,163.06,3 B/R,0.19
TOWN SQUARE,Unit,Flat,417121,44.32,44.32,1 B/R,0.35
DUBAI CREEK HARBOUR,Unit,Flat,1461533,124.36,124.36,2 B/R,0.26
EMAAR SOUTH,Building,Villa,1738400,231.03,231.03,4 B/R,0.28
EMAAR SOUTH,Building,Villa,1280000,137.89,137.89,3 B/R,0.05
DUBAI HILLS,Unit,Flat,1000640,64.09,64.09,1 B/R,0.38
Jabal Ali First,Unit,Flat,556000,48.62,48.62,1 B/R,0.17
EMAAR SOUTH,Building,Villa,1356800,145.47,145.47,3 B/R,0.44
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,716513,86.27,86.27,1 B/R,0.08
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,700000,91.07,91.07,2 B/R,0.55
EMIRATE LIVING,Building,Villa,2780000,255.07,255.07,3 B/R,0.06
EMIRATE LIVING,Building,Villa,1936970,207.44,207.44,2 B/R,0.46
CITY WALK,Unit,Flat,2995200,164.12,164.12,2 B/R,0.11
DUBAI SOUTH,Unit,Flat,428754,58.47,58.47,1 B/R,0.15
THE GREENS,Unit,Flat,720000,75.38,75.38,1 B/R,0.23
MIRA,Building,Villa,1300000,406.4,406.4,4 B/R,0.04
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,1376237.54,171.41,171.41,3 B/R,0.5
JUMEIRAH LAKES TOWERS,Unit,Flat,1368000,149.84,149.84,2 B/R,0.05
JUMEIRAH GOLF,Unit,Flat,1950400,167.85,167.85,3 B/R,0.34
AL FURJAN,Building,Villa,2973600,222.6,222.6,4 B/R,0.13
INTERNATIONAL CITY PH 1,Unit,Flat,195000,67.58,67.58,1 B/R,0.28
AL FURJAN,Building,Villa,3763728,163.06,163.06,3 B/R,0.02
